,gender,age,party,hasMCTfamily,loveMoney,loveFerrisWheel,fanOfHan
220,female,52,None,1,0,1,0
221,male,58,None,0,0,0,0
222,male,29,None,0,1,0,0
223,male,60,KMT,0,0,0,0
224,female,50,KMT,0,0,0,0
225,male,36,KMT,1,1,0,0
226,female,37,Democratic Progressive Party,0,0,0,0
227,male,60,None,0,1,1,0
228,male,41,KMT,0,1,0,0
229,male,31,None,0,1,1,0
230,female,68,KMT,1,0,0,1
231,female,43,Democratic Progressive Party,0,0,0,0
232,male,50,Democratic Progressive Party,0,1,0,0
233,male,37,KMT,1,1,1,1
234,male,54,KMT,1,1,0,0
235,female,46,KMT,0,1,1,1
236,male,51,Democratic Progressive Party,1,0,1,0
237,female,74,KMT,0,0,0,1
238,female,45,Democratic Progressive Party,0,1,1,0
239,female,62,None,0,1,0,0
240,female,7,Democratic Progressive Party,0,0,1,0
241,female,43,KMT,0,1,0,0
242,male,40,None,0,1,0,0
243,male,27,None,0,0,1,0
244,male,54,Democratic Progressive Party,0,1,1,0
245,male,52,None,1,0,1,0
246,male,67,None,0,0,0,0
247,female,35,Democratic Progressive Party,0,0,1,0
248,male,36,KMT,1,0,0,0
249,female,59,None,0,1,1,0
250,male,32,None,0,0,0,0
251,female,59,None,0,0,0,0
252,male,51,KMT,0,1,1,1
253,female,48,None,0,0,1,0
254,female,20,None,0,1,1,0
255,male,39,KMT,0,1,1,1
256,female,61,None,1,1,0,1
257,male,74,None,0,0,0,0
258,male,51,None,0,0,0,0
259,female,37,None,0,0,1,0
260,female,31,None,0,0,1,0
261,male,51,KMT,0,0,0,0
262,male,61,KMT,0,0,0,0
263,female,46,KMT,0,1,0,0
264,female,43,KMT,0,0,1,1
265,male,42,None,1,1,0,1
266,male,29,None,0,0,0,0
267,female,84,KMT,0,1,0,1
268,male,50,Democratic Progressive Party,0,0,1,0
269,male,33,KMT,0,0,0,0
270,female,44,KMT,0,1,0,0
271,male,60,Democratic Progressive Party,0,1,0,0
272,female,73,None,0,1,1,0
273,female,49,Democratic Progressive Party,0,1,1,0
274,female,84,None,0,0,1,0
275,female,27,None,1,1,1,1
276,female,58,None,0,1,0,0
277,female,68,None,1,0,0,0
278,female,30,None,1,0,1,0
279,male,57,Democratic Progressive Party,0,1,0,0
280,female,59,KMT,0,0,1,1
281,female,34,KMT,0,0,0,0
282,male,32,None,0,1,0,0
283,female,32,None,0,1,1,0
284,female,47,None,0,0,1,0
285,female,36,Democratic Progressive Party,0,0,0,0
286,female,55,KMT,0,0,1,1
287,male,39,KMT,0,1,1,1
288,male,30,KMT,0,1,0,0
289,female,50,KMT,0,1,0,0
290,female,84,None,1,0,0,0
291,female,68,KMT,0,0,1,1
292,male,29,None,0,1,0,0
293,female,62,None,0,0,1,0
294,male,44,KMT,1,1,1,1
295,male,61,None,1,0,1,0
296,male,54,None,0,1,1,0
297,male,44,None,1,1,1,1
298,female,29,Democratic Progressive Party,1,1,1,1
299,male,42,None,0,1,0,0
300,male,46,None,0,1,1,0
301,female,52,KMT,0,1,0,0
302,male,66,None,0,0,0,0
303,female,56,KMT,0,1,1,1
304,female,70,Democratic Progressive Party,0,0,1,0
305,male,35,Democratic Progressive Party,1,1,1,1
306,female,68,None,0,0,1,0
307,female,37,None,0,1,0,0
308,male,49,Democratic Progressive Party,0,1,1,0
309,female,56,None,0,1,0,0
310,male,45,Democratic Progressive Party,0,1,1,0
311,female,45,None,0,1,1,0
312,female,36,KMT,0,0,1,1
313,female,47,Democratic Progressive Party,0,1,1,0
314,male,44,KMT,0,1,1,1
315,male,53,None,0,1,0,0
316,male,64,None,0,1,1,0
317,male,52,None,0,0,1,0
318,female,51,KMT,0,1,1,1
319,male,54,Democratic Progressive Party,0,1,1,0
320,male,53,None,0,1,1,0
321,female,74,Democratic Progressive Party,0,0,0,0
322,male,60,None,0,0,1,0
323,male,71,KMT,0,0,0,0
324,male,46,KMT,0,1,1,1
325,male,39,None,0,0,0,0
326,male,23,None,0,0,0,0
327,female,31,None,0,1,1,0
328,male,27,Democratic Progressive Party,0,0,1,0
329,male,34,None,0,1,0,0
330,male,60,Democratic Progressive Party,1,1,0,1
331,male,61,None,0,0,1,0
332,female,57,Democratic Progressive Party,0,0,1,0
333,female,62,Democratic Progressive Party,0,1,1,0
334,female,8,Democratic Progressive Party,0,0,0,0
335,female,37,Democratic Progressive Party,0,1,0,0
336,female,55,None,1,1,0,1
337,male,33,Democratic Progressive Party,0,0,0,0
338,female,63,Democratic Progressive Party,0,1,0,0
339,male,48,None,0,0,1,0
340,male,45,KMT,0,1,0,0
341,female,55,None,0,0,1,0
342,male,40,Democratic Progressive Party,0,0,1,0
343,female,43,None,0,0,1,0
344,male,63,None,0,0,1,0
345,male,48,None,0,0,1,0
346,female,44,None,1,1,0,1
347,male,45,KMT,1,1,0,0
348,male,65,Democratic Progressive Party,0,0,0,0
349,female,57,KMT,0,1,0,1
350,female,64,Democratic Progressive Party,0,0,1,0
351,male,50,KMT,0,0,1,1
352,female,19,None,0,0,0,0
353,male,30,None,0,0,1,0
354,male,26,Democratic Progressive Party,0,0,1,0
355,male,47,Democratic Progressive Party,0,0,0,0
356,male,18,KMT,0,1,0,0
357,male,57,None,0,0,1,0
358,female,46,KMT,1,0,1,1
359,female,68,Democratic Progressive Party,0,1,1,0
360,female,52,Democratic Progressive Party,1,0,1,0
361,female,60,None,1,0,0,0
362,female,64,KMT,0,0,0,1
363,female,55,None,0,0,1,0
364,female,53,None,0,1,1,0
365,male,73,Democratic Progressive Party,0,1,0,0
366,male,42,None,0,0,0,0
367,male,59,None,0,1,1,0
368,male,46,None,0,1,1,0
369,male,58,None,0,0,1,0
370,male,73,None,0,1,0,0
371,female,75,KMT,0,0,1,1
372,male,56,Democratic Progressive Party,0,1,1,0
373,female,59,None,0,1,1,0
374,male,27,KMT,1,1,1,1
375,female,24,None,0,0,1,0
376,male,54,None,0,0,0,0
377,female,65,None,0,1,1,0
378,female,41,Democratic Progressive Party,0,0,0,0
379,female,51,None,0,0,0,0
380,female,58,None,0,1,0,0
381,female,56,Democratic Progressive Party,0,0,0,0
382,male,11,KMT,0,0,0,0
383,male,73,Democratic Progressive Party,0,1,0,0
384,male,43,Democratic Progressive Party,0,1,1,0
385,male,54,None,0,1,0,0
386,male,54,None,0,0,1,0
387,female,37,None,0,0,1,0
388,female,27,KMT,0,1,0,0
389,female,68,None,0,0,1,0
390,male,40,None,0,0,1,0
391,male,38,Democratic Progressive Party,0,0,1,0
392,female,52,KMT,0,0,0,0
393,female,35,KMT,0,1,1,1
394,female,55,None,1,1,0,1
395,female,59,Democratic Progressive Party,0,1,1,0
396,male,45,KMT,1,1,0,0
397,female,65,KMT,0,1,0,1
398,female,38,Democratic Progressive Party,0,1,1,0
399,male,67,None,0,0,1,0
400,male,56,None,1,0,1,0
401,male,37,KMT,0,1,1,1
402,male,27,None,1,0,0,0
403,female,29,None,0,1,1,0
404,female,61,Democratic Progressive Party,0,0,1,0
405,female,18,KMT,0,0,1,1
406,male,41,Democratic Progressive Party,0,1,1,0
407,female,44,None,0,0,1,0
408,female,50,Democratic Progressive Party,0,1,1,0
409,female,48,Democratic Progressive Party,0,1,0,0
410,male,48,None,0,0,0,0
411,female,41,KMT,1,1,1,1
412,female,71,None,0,1,1,0
413,female,38,Democratic Progressive Party,0,1,0,0
414,female,33,None,0,1,0,0
415,female,56,None,0,1,1,0
416,male,54,Democratic Progressive Party,1,0,0,0
417,female,49,KMT,0,1,1,1
418,female,74,KMT,1,1,1,1
419,female,73,None,1,0,0,0
420,male,40,KMT,1,1,0,0
421,male,40,None,0,1,1,0
422,female,81,None,0,1,0,0
423,male,57,KMT,0,1,0,0
424,male,42,Democratic Progressive Party,1,1,1,1
425,male,26,KMT,0,1,0,0
426,male,36,None,1,1,0,1
427,female,51,None,1,0,1,0
428,female,52,None,1,0,0,0
429,male,42,Democratic Progressive Party,0,1,0,0
430,female,28,KMT,0,1,0,0
431,female,34,Democratic Progressive Party,0,0,1,0
432,female,59,Democratic Progressive Party,0,0,1,0
433,male,43,None,0,0,0,0
434,female,45,None,0,0,1,0
435,female,43,KMT,0,1,1,1
436,male,54,KMT,0,0,1,1
437,male,39,Democratic Progressive Party,0,1,1,0
438,male,21,None,0,0,0,0
439,female,76,Democratic Progressive Party,0,1,1,0
440,female,27,KMT,1,0,1,1
441,male,72,KMT,0,0,1,1
442,female,55,None,0,0,0,0
443,male,55,None,0,0,0,0
444,male,46,KMT,0,1,0,0
445,female,70,KMT,0,1,0,1
446,female,38,Democratic Progressive Party,0,1,0,0
447,female,41,Democratic Progressive Party,0,1,1,0
448,male,25,KMT,1,1,1,1
449,male,42,None,0,0,1,0
450,female,52,Democratic Progressive Party,0,1,1,0
451,female,81,None,1,1,1,1
452,male,58,None,0,1,1,0
453,male,77,KMT,0,0,1,1
454,male,65,Democratic Progressive Party,0,1,1,0
455,male,34,None,0,1,1,0
456,female,59,None,0,0,0,0
457,male,37,None,0,1,0,0
458,female,71,None,0,1,1,0
459,female,38,None,0,0,1,0
460,male,60,None,0,0,1,0
461,male,42,Democratic Progressive Party,0,1,1,0
462,female,45,Democratic Progressive Party,0,0,1,0
463,female,61,None,0,1,0,0
464,female,55,KMT,0,1,0,1
465,male,53,None,0,1,1,0
466,male,39,None,0,1,0,0
467,female,79,None,0,1,0,0
468,male,53,Democratic Progressive Party,1,0,0,0
469,female,61,None,0,1,0,0
470,female,43,None,0,0,1,0
471,female,41,KMT,1,1,1,1
472,female,35,None,1,0,0,0
473,male,75,KMT,1,0,1,1
474,female,54,None,0,0,0,0
475,female,61,Democratic Progressive Party,0,1,0,0
476,female,49,KMT,0,1,0,0
477,female,39,KMT,0,0,0,0
478,male,32,None,0,0,1,0
479,female,38,KMT,1,0,0,0
480,female,61,KMT,1,0,1,1
481,female,48,Democratic Progressive Party,0,0,0,0
482,female,46,KMT,1,0,0,0
483,female,38,None,0,1,1,0
484,male,33,None,1,0,0,0
485,female,53,None,0,1,0,0
486,male,31,None,0,0,1,0
487,female,59,None,0,0,1,0
488,male,43,None,0,0,1,0
489,male,64,None,0,1,0,0
490,male,46,KMT,0,0,0,0
491,male,74,KMT,0,1,1,1
492,female,63,None,1,1,1,1
493,male,55,None,0,1,0,0
494,male,24,Democratic Progressive Party,0,1,1,0
495,male,45,KMT,0,1,1,1
496,female,71,KMT,0,1,0,1
497,female,29,None,0,1,0,0
498,female,38,None,0,0,0,0
499,male,43,Democratic Progressive Party,0,0,0,0
500,male,58,KMT,0,1,1,1
501,female,52,KMT,0,0,0,0
502,female,79,KMT,0,1,1,1
503,male,53,None,1,0,0,0
504,male,47,None,0,1,0,0
505,male,63,None,0,0,0,0
506,female,39,KMT,0,0,0,0
507,male,58,KMT,0,1,0,0
508,male,69,None,0,1,0,0
509,female,43,None,0,1,0,0
510,female,53,None,0,0,1,0
511,male,77,Democratic Progressive Party,0,0,0,0
512,male,55,KMT,0,1,1,1
513,female,31,None,1,1,1,1
514,male,64,None,0,1,1,0
515,male,67,None,0,0,1,0
516,female,48,Democratic Progressive Party,0,0,0,0
517,female,37,None,1,1,1,1
518,male,96,KMT,0,1,0,0
519,male,60,KMT,0,0,1,1
520,male,47,None,0,1,0,0
521,female,35,KMT,0,0,1,1
522,male,30,KMT,0,1,0,0
523,female,43,None,0,1,1,0
524,female,56,Democratic Progressive Party,0,1,0,0
525,female,48,None,0,0,1,0
526,female,36,None,0,1,0,0
527,male,73,None,1,0,0,0
528,female,32,None,0,1,0,0
529,female,40,None,0,1,1,0
530,male,27,None,0,1,0,0
531,female,41,Democratic Progressive Party,0,0,1,0
532,male,20,None,0,0,1,0
533,female,49,None,0,0,0,0
534,male,62,None,0,0,0,0
535,female,44,None,0,0,1,0
536,female,66,Democratic Progressive Party,1,0,1,0
537,male,54,KMT,0,0,0,0
538,female,54,None,0,1,1,0
539,male,57,Democratic Progressive Party,0,1,1,0
540,female,75,None,0,0,1,0
541,female,37,None,0,0,0,0
542,female,66,Democratic Progressive Party,0,1,1,0
543,male,39,Democratic Progressive Party,0,1,1,0
544,male,46,Democratic Progressive Party,0,1,1,0
545,female,63,None,0,1,0,0
546,female,47,KMT,0,0,1,1
547,male,48,Democratic Progressive Party,0,1,0,0
548,male,75,KMT,1,1,0,0
549,female,69,None,0,1,0,0
550,female,73,Democratic Progressive Party,0,0,0,0
551,male,70,Democratic Progressive Party,0,1,1,0
552,male,19,None,0,1,0,0
553,male,62,KMT,0,0,1,1
554,male,47,None,1,0,1,0
555,male,47,None,0,0,0,0
556,male,42,None,0,1,0,0
557,male,61,Democratic Progressive Party,0,0,0,0
558,female,42,Democratic Progressive Party,1,0,1,0
559,female,56,None,0,1,1,0
560,male,59,KMT,1,0,0,0
561,male,38,None,1,1,0,1
562,female,39,None,0,0,1,0
563,female,47,None,0,1,0,0
564,female,-1,None,0,0,0,0
565,male,54,KMT,0,0,1,1
566,male,45,KMT,0,1,0,0
567,female,46,None,0,1,0,0
568,male,73,Democratic Progressive Party,0,0,1,0
569,male,53,KMT,0,0,1,1
570,male,66,KMT,0,1,0,0
571,male,52,KMT,0,0,0,0
572,male,39,KMT,0,1,0,0
573,male,48,None,0,0,0,0
574,female,64,None,0,1,0,0
575,female,49,Democratic Progressive Party,0,0,1,0
576,female,47,None,0,1,1,0
577,male,43,KMT,0,0,1,1
578,female,70,None,0,1,0,0
579,male,72,KMT,0,1,0,0
580,male,52,None,1,1,0,1
581,male,76,None,0,1,0,0
582,male,43,None,1,0,1,0
583,female,76,None,0,1,1,0
584,male,34,KMT,0,1,0,0
585,male,43,KMT,0,1,1,1
586,male,29,Democratic Progressive Party,0,1,0,0
587,male,60,None,0,1,1,0
588,male,72,None,0,0,1,0
589,male,44,None,1,1,1,1
590,male,68,None,1,0,0,0
591,female,62,Democratic Progressive Party,0,1,0,0
592,female,63,KMT,0,0,0,1
593,female,36,KMT,1,0,0,0
594,male,52,None,0,0,1,0
595,male,66,Democratic Progressive Party,0,0,0,0
596,male,69,None,0,1,0,0
597,female,46,Democratic Progressive Party,0,0,1,0
598,male,53,None,0,1,0,0
599,male,35,Democratic Progressive Party,0,0,0,0
600,female,29,None,0,1,1,0
601,male,70,KMT,0,0,0,0
602,female,51,KMT,0,0,1,1
603,male,62,Democratic Progressive Party,1,1,0,1
604,female,75,KMT,0,0,1,1
605,male,62,None,1,0,0,0
606,female,9,None,0,0,0,0
607,male,60,KMT,0,0,1,1
608,female,35,None,0,1,0,0
609,female,60,None,0,1,1,0
610,male,57,KMT,0,0,0,0
611,male,48,KMT,0,0,0,0
612,male,36,KMT,0,0,0,0
613,female,44,None,1,1,1,1
614,female,81,KMT,0,0,0,1
615,female,58,Democratic Progressive Party,0,1,0,0
616,female,65,Democratic Progressive Party,0,1,0,0
617,male,72,KMT,0,0,1,1
618,male,19,None,0,1,1,0
619,male,45,KMT,0,1,1,1
620,female,39,Democratic Progressive Party,0,0,0,0
621,male,46,KMT,0,1,1,1
622,female,68,None,0,1,0,0
623,male,59,KMT,0,0,0,0
624,male,33,None,0,0,1,0
625,male,65,KMT,0,1,1,1
626,male,44,Democratic Progressive Party,0,0,0,0
627,male,52,KMT,0,1,1,1
628,female,44,Democratic Progressive Party,0,1,1,0
629,female,38,KMT,1,1,1,1
630,female,44,Democratic Progressive Party,0,1,0,0
631,male,87,KMT,0,1,0,0
632,male,61,KMT,1,0,1,1
633,female,49,Democratic Progressive Party,0,1,1,0
634,male,59,None,0,1,0,0
635,male,52,KMT,1,1,1,1
636,female,57,None,0,0,0,0
637,male,45,KMT,0,0,0,0
638,male,54,None,1,0,0,0
639,female,75,KMT,0,1,1,1
640,male,56,Democratic Progressive Party,1,0,0,0
641,male,7,KMT,0,1,1,1
642,male,72,None,0,0,1,0
643,male,45,Democratic Progressive Party,0,1,0,0
644,female,69,KMT,0,1,0,1
645,female,24,None,0,0,0,0
646,male,68,None,0,1,0,0
647,male,71,None,1,0,0,0
648,male,60,None,0,0,0,0
649,female,56,None,1,0,1,0
650,female,58,KMT,0,0,0,1
651,male,39,KMT,0,1,1,1
652,male,37,KMT,0,1,0,0
653,male,45,KMT,0,0,1,1
654,male,47,KMT,1,1,1,1
655,male,66,KMT,0,1,0,0
656,female,51,Democratic Progressive Party,0,0,0,0
657,female,67,Democratic Progressive Party,0,1,1,0
658,female,42,KMT,0,0,0,0
659,female,52,None,0,0,0,0
660,female,27,None,0,1,1,0
661,female,45,Democratic Progressive Party,0,1,1,0
662,female,71,KMT,0,1,1,1
663,female,42,KMT,0,0,0,0
664,male,56,Democratic Progressive Party,0,0,1,0
665,female,41,KMT,0,0,0,0
666,male,66,None,0,0,1,0
667,female,54,None,1,0,1,0
668,female,36,Democratic Progressive Party,1,0,0,0
669,female,57,Democratic Progressive Party,0,1,1,0
670,male,37,None,0,1,0,0
671,male,63,Democratic Progressive Party,0,1,0,0
672,male,50,None,0,0,0,0
673,female,38,None,0,1,1,0
674,male,60,None,0,0,1,0
675,male,66,None,0,1,1,0
676,male,49,Democratic Progressive Party,0,0,0,0
677,female,43,KMT,0,0,1,1
678,female,53,KMT,0,0,1,1
679,male,26,None,0,1,0,0
680,female,58,KMT,0,1,1,1
681,female,63,Democratic Progressive Party,0,0,0,0
682,female,42,None,0,0,0,0
683,female,64,Democratic Progressive Party,1,1,0,1
684,female,80,Democratic Progressive Party,0,0,0,0
685,female,48,None,0,0,0,0
686,male,27,KMT,0,0,1,1
687,male,63,None,0,1,0,0
688,male,46,None,1,1,0,1
689,male,50,KMT,0,1,1,1
690,female,56,Democratic Progressive Party,0,1,1,0
691,female,42,KMT,0,0,1,1
692,female,57,KMT,0,1,1,1
693,female,67,Democratic Progressive Party,0,1,1,0
694,female,57,None,0,1,1,0
695,female,50,None,0,1,1,0
696,female,56,None,1,0,0,0
697,female,43,KMT,0,1,1,1
698,female,72,KMT,0,0,0,1
699,male,55,None,0,1,1,0
700,male,55,None,0,1,1,0
701,male,28,KMT,0,0,0,0
702,female,51,Democratic Progressive Party,0,1,1,0
703,male,72,None,0,1,1,0
704,male,29,KMT,0,1,0,0
705,male,48,Democratic Progressive Party,0,0,1,0
706,male,43,None,1,0,0,0
707,female,30,KMT,0,0,0,0
708,male,51,Democratic Progressive Party,0,1,0,0
709,male,63,None,0,0,0,0
710,female,83,Democratic Progressive Party,0,1,0,0
711,male,41,Democratic Progressive Party,0,0,1,0
712,male,33,None,0,0,1,0
713,female,48,None,0,0,1,0
714,female,50,None,0,1,1,0
715,female,52,KMT,0,1,0,0
716,male,47,KMT,0,0,0,0
717,female,46,KMT,0,1,1,1
718,female,73,None,0,1,1,0
719,male,49,KMT,1,0,0,0
720,female,48,KMT,0,1,1,1
721,male,40,KMT,0,1,0,0
722,female,44,KMT,0,0,1,1
723,male,48,KMT,0,0,1,1
724,male,48,KMT,0,1,1,1
725,female,77,Democratic Progressive Party,0,1,0,0
726,female,32,None,0,0,1,0
727,male,55,None,1,1,1,1
728,male,36,None,0,1,1,0
729,male,64,KMT,0,1,0,0
730,female,43,None,0,0,0,0
731,male,47,Democratic Progressive Party,1,0,0,0
732,female,50,KMT,0,0,0,0
733,male,49,Democratic Progressive Party,0,1,0,0
734,female,68,None,0,0,1,0
735,male,53,Democratic Progressive Party,0,0,0,0
736,female,60,Democratic Progressive Party,0,0,1,0
737,female,66,KMT,0,1,1,1
738,male,51,None,0,1,0,0
739,female,65,Democratic Progressive Party,0,1,0,0
740,male,29,None,0,1,0,0
741,female,65,None,0,0,0,0
742,male,43,None,0,0,1,0
